"TOA5","21492","CR1000X","21492","CR1000X.Std.04.02","CPU:Lab2.CR1X","33475","SlowResponse"
"TIMESTAMP","RECORD","AirTC","RH","windSpeed","windDirection","gustWindSpeed","AirTemp"
"TS","RN","Deg C","%","m/s","deg","m/s","degC"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-25 19:01:00",100,2.175125,39.52679,0.06,57,0.06,2.1
"2022-01-25 19:02:00",101,2.159203,39.56137,0.02,212.6,0.02,2
"2022-01-25 19:03:00",102,2.102501,39.59302,0.05,84,0.05,1.6
"2022-01-25 19:04:00",103,2.099998,39.62544,0.33,39.7,0.33,1.5
"2022-01-25 19:05:00",104,2.082748,39.58741,0.06,315.2,0.06,1.5
"2022-01-25 19:06:00",105,2.036278,39.67663,0.18,74.6,0.18,1.5
"2022-01-25 19:07:00",106,1.9888,39.70827,0.11,24.9,0.11,1.6
"2022-01-25 19:08:00",107,1.920502,39.69373,0.25,111,0.25,1.5
"2022-01-25 19:09:00",108,1.874908,39.72109,0.19,226,0.19,1.4
"2022-01-25 19:10:00",109,1.831543,39.75794,0.13,249.7,0.13,1.2
"2022-01-25 19:11:00",110,1.821259,39.85473,0.34,251.5,0.34,1.3
"2022-01-25 19:12:00",111,1.763771,39.79647,0.12,279.6,0.12,1.5
"2022-01-25 19:13:00",112,1.725983,39.84116,0.08,153.6,0.08,1.2
"2022-01-25 19:14:00",113,1.678017,39.84077,0.14,137.4,0.14,1.1
"2022-01-25 19:15:00",114,1.60247,39.96097,0.22,161.6,0.22,1.3
"2022-01-25 19:16:00",115,1.557884,39.88043,0.81,180.4,0.81,1.1
"2022-01-25 19:17:00",116,1.509102,39.88681,0.02,86.9,0.02,1.1
"2022-01-25 19:18:00",117,1.463409,39.92207,0.53,161.3,0.53,1.1
"2022-01-25 19:19:00",118,1.441246,39.88374,0.28,194.4,0.28,1
"2022-01-25 19:20:00",119,1.393097,39.96557,0.51,141.9,0.51,0.9
"2022-01-25 19:21:00",120,1.362625,39.98034,0.55,168.6,0.55,1
"2022-01-25 19:22:00",121,1.302269,39.99025,0.5,266.3,0.5,0.7
"2022-01-25 19:23:00",122,1.262558,39.99457,0.33,176.4,0.33,1
"2022-01-25 19:24:00",123,1.252167,39.98844,1.02,179,1.02,0.9
"2022-01-25 19:25:00",124,1.213348,40.01474,0.85,160.8,0.85,1
"2022-01-25 19:26:00",125,1.17057,40.03633,0.15,270.7,0.15,0.7
"2022-01-25 19:27:00",126,1.150658,39.99782,0.72,183.6,0.72,0.7
"2022-01-25 19:28:00",127,1.115616,40.03296,0.32,204.2,0.32,0.6
"2022-01-25 19:29:00",128,1.077232,40.0588,0.05,305.5,0.05,0.8
"2022-01-25 19:30:00",129,1.034348,40.04147,0.2,250.4,0.2,0.5
"2022-01-25 19:31:00",130,0.9883575,40.10159,0.16,290.9,0.16,0.4
"2022-01-25 19:32:00",131,0.9064713,40.1797,0.16,66.7,0.16,0.6
"2022-01-25 19:33:00",132,0.9207993,40.11474,0.33,124.9,0.33,0.6
"2022-01-25 19:34:00",133,0.8807678,40.15926,0.22,219.2,0.22,0.2
"2022-01-25 19:35:00",134,0.8406906,40.16045,0.37,211.9,0.37,0.6
"2022-01-25 19:36:00",135,0.8808746,40.2702,0.32,136.6,0.32,0.3
"2022-01-25 19:37:00",136,0.8332367,40.24128,0.07,266.4,0.07,0.2
"2022-01-25 19:38:00",137,0.7769623,40.23175,0.09,7.1,0.09,0.2
"2022-01-25 19:39:00",138,0.745842,40.23471,0.25,168.3,0.25,0.5
"2022-01-25 19:40:00",139,0.6968765,40.27991,0.44,90.4,0.44,0.4
"2022-01-25 19:41:00",140,0.6492081,40.31489,0.11,71.6,0.11,0.2
"2022-01-25 19:42:00",141,0.6796951,40.41393,0.12,158,0.12,0.3
"2022-01-25 19:43:00",142,0.6206589,40.37731,0.74,108.9,0.74,0.2
"2022-01-25 19:44:00",143,0.5836716,40.42707,0.17,25.1,0.17,0
